epoch,train_loss,train_token_acc,val_loss,val_token_acc,val_exact_match,val_edit_distance,val_norm_edit_distance,learning_rate,grad_norm,epoch_time_sec,gpu_memory_mb,gpu_memory_peak_mb
1,1.850050635868634,0.567994558376242,1.5008952328446032,0.6366403485426462,0.0,99.04181600955795,0.6264902997193396,0.0001,2.8985242400741984,945.8998591899872,451.626953125,1098.20654296875
2,1.4155871329348095,0.6527365850203115,1.2761445387614376,0.6843421947541177,0.00011947431302270011,69.68745519713262,0.523051815305803,0.0001,2.9494575536973167,960.3833086490631,451.759765625,1098.21435546875
3,1.2071704069878926,0.696892801155905,1.1062510619873986,0.7205606647544135,0.0,93.08016726403824,0.5398605864054814,0.0001,3.287680215435251,982.1579084396362,451.759765625,1098.21435546875
4,1.0655126925545975,0.7272328894414988,0.9937093837441096,0.744722082581739,0.00011947431302270011,63.891875746714454,0.45865550111748615,0.0001,3.4466482640326213,911.1409180164337,451.759765625,1098.21435546875
5,0.9561526795502804,0.7512872599215699,0.9148756826960027,0.7637933583700506,0.0007168458781362007,72.43273596176822,0.4699377048997758,0.0001,3.5441044681637246,891.2218430042267,451.759765625,1098.21435546875
6,0.8689961527726602,0.770585489325961,0.8551941528532089,0.7771278745404185,0.0013142174432497014,58.79761051373955,0.4144138335204285,0.0001,3.5960237715753562,894.2803344726562,451.759765625,1098.21435546875
7,0.7980557975524544,0.7865251615702041,0.8137590527363698,0.7867995386935565,0.0026284348864994028,62.13201911589008,0.4222184786363352,0.0001,3.651442357495538,894.5608661174774,451.759765625,1098.21435546875
8,0.7391145106393143,0.8000828034921779,0.7686175535207947,0.7989512178292969,0.0025089605734767025,60.825328554360816,0.41921342501634207,0.0001,3.672890930246724,900.0454268455505,451.759765625,1098.21435546875
9,0.6889360710329254,0.811632174744407,0.7321679115921629,0.807483415639077,0.0025089605734767025,84.7584229390681,0.4798536747428889,0.0001,3.691937527393053,886.814775466919,451.759765625,1098.21435546875
10,0.6454545520602326,0.8219185947517017,0.7088216648231604,0.8124395028141664,0.004181600955794504,71.84181600955795,0.42069344510189066,0.0001,3.711745491367344,887.9146943092346,451.759765625,1098.21435546875
11,0.6069331342463286,0.8308652876937379,0.6889568052068709,0.8175197878778918,0.005973715651135006,55.94181600955795,0.38425281376881815,0.0001,3.7404169564546104,886.2677698135376,451.759765625,1098.21435546875
12,0.573014961316089,0.8388919907200252,0.6753653595588724,0.8216242323880494,0.006332138590203106,55.40035842293907,0.3798330125544645,0.0001,3.7541788671272593,893.7592651844025,451.759765625,1098.21435546875
13,0.5433418882213034,0.8460688800101722,0.6601860961292398,0.8267242314023519,0.005376344086021506,65.85961768219833,0.41128117497300015,0.0001,3.795241148096849,896.2686035633087,451.759765625,1098.21435546875
14,0.5176943841446725,0.8521735476720648,0.6439345110396373,0.8309745591467802,0.0034647550776583033,98.76905615292712,0.5232536066245573,0.0001,3.81928352871306,943.4783976078033,451.759765625,1098.21435546875
15,0.49327677462356884,0.8581020049268517,0.6444270040665565,0.8308345900976827,0.0034647550776583033,93.02927120669057,0.5013007179759016,0.0001,3.839681068845054,999.6109461784363,451.759765625,1098.21435546875
16,0.4718368412093452,0.8632266259424837,0.6238954778842507,0.8367507466658781,0.003106332138590203,84.09127837514934,0.48343895325186936,0.0001,3.863676452864749,885.9255495071411,451.759765625,1098.21435546875
17,0.45170945185815614,0.8680637226109411,0.6181513988897702,0.8393037032656159,0.0032258064516129032,94.70908004778973,0.5169918988514672,0.0001,3.898202163557444,926.9123139381409,451.759765625,1098.21435546875
18,0.4336011486260595,0.8726544326926842,0.6201096115617835,0.8415688361869277,0.007168458781362007,71.03643966547192,0.42703020175502604,0.0001,3.915791174785237,895.1678085327148,451.759765625,1098.21435546875
19,0.41685898433361246,0.8767158515890395,0.6082507951724153,0.8427201309006318,0.002867383512544803,94.97037037037038,0.49662096602255595,0.0001,3.931367899076845,882.2995216846466,451.759765625,1098.21435546875
20,0.4016101084245759,0.880464887491525,0.6142101259661951,0.8427319592709781,0.004062126642771804,89.73010752688172,0.485881170871533,0.0001,3.9780338332706253,898.1145796775818,451.759765625,1098.21435546875
